feature,importance
approval_delay_hours,0.48498329099816795
daily_transaction_count,0.1585670623592481
category_encoded,0.12337464767981235
self_approval_risk,0.059878237404619145
usd_amount,0.04131398664720914
daily_amount_sum,0.03942089409712552
hour,0.021258933784916213
day_of_week,0.01930351484118408
month,0.013966946608761967
department_encoded,0.009909000949449909
employee_role_encoded,0.008091995544012328
currency_encoded,0.0061855166394602775
merchant_region_encoded,0.005189387078540588
is_weekend,0.003535266410544542
is_business_hours,0.003462049212939647
transaction_type_encoded,0.0015592697440083717
